,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7
a,6.142753564811085,19.153307016837186,8.942237976315154,8.104406670426165,9.300733102392652,8.567630709739788,7.685491017481673
b,7.250463224039313,0.47530814468702165,2.489325706920164,3.137839361959236,1.5628776282929187,0.42697172319342624,0.11681301860952227
c,9.316845242890517,1.7884475952630308,4.632240393136229,4.173044388947072,2.0905502295980023,2.541690163538226,1.7360831386449689
d,5.018931765084991,0.5880931281720777,3.1740916780794324,4.523483444775638,2.8719890437444615,2.0381857729799404,9.345041488761781
e,3.391605574800612,14.517038588576492,6.601949569000241,7.371304277773302,11.959236284540403,22.97994038508016,11.600741158462903
f,4.144848143075808,0.23765407234351082,1.3655039071940707,1.905260613872553,0.833803270764521,0.56392491742528,0.3302988802062354
g,4.249577056311931,0.33835495045516795,2.771288165632804,3.3513252235559494,1.7723354547651657,1.6273261902843794,5.856763070973979
h,3.9716426327237575,4.3180536534278575,1.4218963989365987,2.779344235881737,3.3271570128091517,1.0070087811165713,1.752195279142834
i,1.9294288246193507,10.235237251268831,6.593893498751309,7.524369612503021,17.417223878192218,7.915089019576251,1.5709336985418512
j,1.3050833803270763,0.048336421493595426,0.26585031821477484,0.16112140497865143,0.10875694836058972,0.08056070248932572,0.012084105373398856
k,2.062353983726738,0.37057923145089827,0.7169902521549988,2.779344235881737,1.607186014662048,0.721018287279465,1.4782888906791267
l,4.237492950938533,4.869894465479739,7.625070490614679,7.427696769515831,7.250463224039313,6.670426166116168,4.096511721582212
m,6.5536131475066455,1.2486908885845485,3.995810843470555,3.335213083058084,3.2224280995730283,1.1963264319664868,1.8367840167566263
n,2.102634334971401,3.657455893015387,8.938209941190687,5.933295738338838,5.997744300330298,12.555385482961412,8.563602674615323
o,2.154998791589463,13.083058084266494,5.856763070973979,5.163941029565778,7.576734069121082,5.542576331265608,2.231531458954322
p,7.286715540159511,1.6877467171513734,2.892129219366793,3.38354950455168,1.7320551035205027,0.6968500765326674,0.4914202851848868
q,0.5276726013050834,0.2457101425924434,0.21751389672117943,0.29404656408603885,0.12486908885845484,0.0,0.0040280351244662855
r,4.926286957222267,8.048014178683637,10.976395714170629,6.706678482236366,4.978651413840328,8.857649238701361,7.725771368726335
s,10.98445178441956,1.1197937646016274,5.554660436639008,5.506324015145412,3.7944090872472405,3.9635865624748243,21.28816563280432
t,5.526464190767744,2.102634334971401,5.743978087488923,8.241359864658019,6.755014903729961,5.949407878836704,5.3008942237976315
u,1.4098122935631998,8.55554660436639,4.2818013373076615,3.2707645210666234,2.972689921856119,3.9434463868524934,0.5035043905582857
v,1.667606541529042,0.5719809876742126,1.3655039071940707,1.4218963989365987,0.7572706033996617,0.49947635543381935,0.112784983485056
w,2.9565777813582534,0.620317409167808,1.043261097236768,1.5749617336663178,0.6082333037944091,0.47530814468702165,0.3987754773221623
x,0.08458873761379199,0.49544832030935304,0.4914202851848868,0.2457101425924434,0.2416821074679771,0.048336421493595426,0.3826633368242971
y,0.310158704583904,1.4863449609280595,1.5024571014259243,1.0029807459921052,0.5961491984210102,0.8096350600177233,5.333118504793362
z,0.4873922500604205,0.1369531942318537,0.5397567066784822,0.6807379360348021,0.5397567066784822,0.32224280995730287,0.2457101425924434
